,「【必要会場面積／必要人数リスト】アクティビティ＆フード」を参照して作成しております　↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://docs.google.com/spreadsheets/d/1Et1sxFLvO9ufXjWF7n6aq_GvciMup-ikNKT6WOo7ijI/edit?gid=1965560400#gid=1965560400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"【注意】
こちらの各アサイン人数は絶対ではございません。
お客様のご要望や状況によって人数は増減致します。
あくまで目安としてご利用いただければと思います。

こちらに記載しているコンテンツは全てリアルイベントのアサイン人数です。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"【コピペ方法】
下記の部分をコピーしてください！
ペーストする際もしっかりマスに合わせてペーストをお願いします。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,8,,,,FC,,巡回,,,,8,,,,FC,,巡回,,
,9,,,,,,,,,,9,,,,,,,,,,9,,,,FC,,巡回,,
,10,,,,,,,,,,10,,,,,,,,,,10,,,,FC,,巡回,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帰還不可能な宇宙船からの脱出,参加人数：～49名　（～9チーム想定）,,,,,,,,,,参加人数：50～99名　（10～17チーム想定）,,,,,,,,,,参加人数：100～150名　（18～24チーム想定）,,,,,,,,
,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ
,1,,,,D,,統括,,,,1,,,,D,,統括,,,,1,,,,D,,統括,,
,2,,,,D,,リアル：船長,,,,2,,,,D,,リアル：船長,,,,2,,,,D,,リアル：船長,,
,3,,,,D,,オンライン：局長,,,,3,,,,D,,オンライン：局長,,,,3,,,,D,,オンライン：局長,,
,4,,,,MC,,リアル,,,,4,,,,MC,,リアル,,,,4,,,,MC,,リアル,,
,5,,,,MC,,オンライン,,,,5,,,,MC,,オンライン,,,,5,,,,MC,,オンライン,,
,6,,,,OP,,リアル,,,,6,,,,OP,,リアル,,,,6,,,,OP,,リアル,,
,7,,,,OP,,オンライン,,,,7,,,,OP,,オンライン,,,,7,,,,OP,,オンライン,,
,8,,,,FC,5,巡回：オンライン,,,,8,,,,FC,5,巡回：リアル,,,,6,,,,FC,5,巡回：リアル,,
,9,,,,FC,4,巡回：オンライン,,,,9,,,,FC,5,巡回：オンライン,,,,7,,,,FC,5,巡回：リアル,,
,10,,,,FC,5,巡回：リアル,,,,10,,,,FC,5,巡回：オンライン,,,,8,,,,FC,5,巡回：リアル,,
,11,,,,FC,4,巡回：リアル,,,,11,,,,FC,5,巡回：オンライン,,,,9,,,,FC,5,巡回：リアル,,
,12,,,,,,,,,,12,,,,FC,5,巡回：リアル,,,,10,,,,FC,4,巡回：リアル,,
,,,,,,,,,,,13,,,,FC,5,巡回：リアル,,,,11,,,,FC,5,巡回：オンライン,,
,,,,,,,,,,,14,,,,,,,,,,12,,,,FC,5,巡回：オンライン,,
,,,,,,,,,,,15,,,,,,,,,,13,,,,FC,5,巡回：オンライン,,
,,,,,,,,,,,,,,,,,,,,,14,,,,FC,5,巡回：オンライン,,
,,,,,,,,,,,,,,,,,,,,,15,,,,FC,4,巡回：オンライン,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヒラメキクエスト,参加人数：～49名　（～9チーム想定）,,,,,,,,,,参加人数：50～99名　（10～17チーム想定）,,,,,,,,,,参加人数：100～150名　（18～24チーム想定）,,,,,,,,
,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ
,1,,,,D/OP,,現地,,,,1,,,,D/OP,,現地,,,,1,,,,D/OP,,現地,,
,2,,,,MC,,現地：探検家,,,,2,,,,MC,,現地：探検家,,,,2,,,,MC,,現地：探検家,,
,3,,,,FC,5,事務所or在宅,,,,3,,,,FC,5,事務所or在宅,,,,3,,,,FC,5,事務所or在宅,,
,4,,,,FC,4,事務所or在宅,,,,4,,,,FC,5,事務所or在宅,,,,4,,,,FC,5,事務所or在宅,,
,5,,,,,,,,,,5,,,,FC,5,事務所or在宅,,,,5,,,,FC,5,事務所or在宅,,
,6,,,,,,,,,,6,,,,,,,,,,6,,,,FC,5,事務所or在宅,,
,7,,,,,,,,,,7,,,,,,,,,,7,,,,FC,4,事務所or在宅,,
,8,,,,,,,,,,8,,,,,,,,,,8,,,,,,,,
,9,,,,,,,,,,9,,,,,,,,,,9,,,,,,,,
,10,,,,,,,,,,10,,,,,,,,,,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
